%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
17.0, -150.1794226206839, -253.44554019719362, -186.25075769331306, -193.35095775919035, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860956641E9, 0.0, 2023-06-28 12:27:40.956
17.0, -216.40557103604078, -308.8222388410941, -175.46488622110337, -197.78647910663858, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860956641E9, 0.0, 2023-06-28 12:27:40.956
18.0, -178.4904652852565, -255.4576063733548, -23.105101926252246, -62.89576750481501, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860957449E9, 0.0, 2023-06-28 12:27:40.957
18.0, -166.5265253270045, -229.38676378224045, -128.5441013770178, -149.0481028840877, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860957449E9, 0.0, 2023-06-28 12:27:40.957
19.0, -235.42296231072396, -315.61763706058264, -228.62008429132402, -235.5407691593282, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609710174E9, 0.0, 2023-06-28 12:27:40.971
19.0, -230.31425897125155, -285.4329045182094, -65.35101182572544, -103.33530572568998, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609710174E9, 0.0, 2023-06-28 12:27:40.971
20.0, -154.8842167649418, -217.97258911747485, -60.35824538487941, -92.48585595423356, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609866784E9, 0.0, 2023-06-28 12:27:40.986
20.0, -200.74287002161145, -324.43632115609944, -238.47846057452261, -245.29068834381178, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609866784E9, 0.0, 2023-06-28 12:27:40.986
21.0, -240.7859788471833, -317.5175062380731, -129.0564676709473, -156.00431680167094, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860987437E9, 0.0, 2023-06-28 12:27:40.987
21.0, -161.61603668518364, -221.54045367520303, -22.050450138747692, -62.44323961017653, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860987437E9, 0.0, 2023-06-28 12:27:40.987
22.0, -197.26476306281984, -264.10425507090986, -197.0964675648138, -204.1143898316659, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610009604E9, 0.0, 2023-06-28 12:27:41.000
22.0, -285.03647512290627, -358.0281025581062, -204.08260068204254, -216.6393147832714, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610009604E9, 0.0, 2023-06-28 12:27:41.000
23.0, -210.26839520875365, -250.8650092277676, -35.83572137542069, -80.0207694019191, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610167153E9, 0.0, 2023-06-28 12:27:41.016
23.0, -164.77251224778593, -223.2907268544659, -126.71529029868543, -143.54671004926786, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610167153E9, 0.0, 2023-06-28 12:27:41.016
24.0, -299.2929737539962, -352.2761364262551, -254.94524007942528, -254.40482453582808, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861017419E9, 0.0, 2023-06-28 12:27:41.017
24.0, -252.753658705391, -335.7831776216626, -90.08671013265848, -123.1492956909351, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861017419E9, 0.0, 2023-06-28 12:27:41.017
25.0, -136.5100882826373, -201.15799891669303, -59.763601291924715, -101.76454774430022, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610311613E9, 0.0, 2023-06-28 12:27:41.031
25.0, -218.2156826145947, -291.8842319417745, -234.56652522087097, -232.21225819876418, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610311613E9, 0.0, 2023-06-28 12:27:41.031
26.0, -285.34314691927284, -328.0079256137833, -138.73906865622848, -168.18517095735297, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610468428E9, 0.0, 2023-06-28 12:27:41.046
26.0, -192.73948411643505, -229.30448598321527, -32.29403611738235, -68.51683713821694, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610468428E9, 0.0, 2023-06-28 12:27:41.046
27.0, -195.2788761863485, -269.8786606024951, -200.0173294302076, -201.24962646560743, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610474763E9, 0.0, 2023-06-28 12:27:41.047
27.0, -280.5859941756353, -343.00118453614414, -200.4249785253778, -214.3392763105221, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610474763E9, 0.0, 2023-06-28 12:27:41.047
28.0, -223.54504005145282, -291.9814693406224, -45.686617858707905, -87.47439001360908, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610610523E9, 0.0, 2023-06-28 12:27:41.061
28.0, -153.06288548652083, -219.15439750347286, -119.5384222837165, -143.28491705236956, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610610523E9, 0.0, 2023-06-28 12:27:41.061
29.0, -266.5426698420197, -315.1875485656783, -240.5615848498419, -244.58758715214208, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861076979E9, 0.0, 2023-06-28 12:27:41.076
29.0, -252.488125808537, -308.38467054627836, -83.82611760683358, -117.48708715802059, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861076979E9, 0.0, 2023-06-28 12:27:41.076
30.0, -187.40264687966555, -238.36252367589623, -67.06014610547572, -96.55486710602418, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610775123E9, 0.0, 2023-06-28 12:27:41.077
30.0, -236.50753329787403, -294.169310814701, -245.93956098612398, -251.42038437118754, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610775123E9, 0.0, 2023-06-28 12:27:41.077
31.0, -250.99964562617242, -338.74143848661333, -136.24081548582762, -163.91794510791078, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610910087E9, 0.0, 2023-06-28 12:27:41.091
31.0, -171.17148107197136, -235.01157331559807, -24.10365521442145, -67.7164985476993, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228610910087E9, 0.0, 2023-06-28 12:27:41.091
32.0, -218.55975341051817, -293.1819772263989, -208.36478613130748, -208.80048447614536, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861106774E9, 0.0, 2023-06-28 12:27:41.106
32.0, -285.5151823172346, -353.66363930981606, -206.19938405696303, -225.67491307621822, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861106774E9, 0.0, 2023-06-28 12:27:41.106
33.0, -215.12278535123914, -284.6437856275588, -41.72980370558798, -86.6890110229142, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611074448E9, 0.0, 2023-06-28 12:27:41.107
33.0, -152.0344129987061, -213.03966107591987, -120.51079627219588, -143.11662155436352, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611074448E9, 0.0, 2023-06-28 12:27:41.107
34.0, -280.25688297953457, -321.57155779004097, -247.75341246463358, -250.78460137872025, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611210148E9, 0.0, 2023-06-28 12:27:41.121
34.0, -249.98987263813615, -309.5851784320548, -81.2605462372303, -115.57225838070735, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611210148E9, 0.0, 2023-06-28 12:27:41.121
35.0, -147.49043455254287, -236.6309499964118, -60.578899482265115, -98.37993828440085, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611367743E9, 0.0, 2023-06-28 12:27:41.136
35.0, -248.35927625745535, -307.9583219513297, -245.90216198656708, -243.34594036685303, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611367743E9, 0.0, 2023-06-28 12:27:41.136
36.0, -278.3158749025315, -336.32546311523765, -149.02379353437573, -172.12702551065013, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861137464E9, 0.0, 2023-06-28 12:27:41.137
36.0, -187.35776808019727, -246.1938741831109, -31.078568631783128, -72.7204846884124, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861137464E9, 0.0, 2023-06-28 12:27:41.137
37.0, -188.58071536570787, -253.25480529945344, -199.41520553734154, -210.66669455403462, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611510146E9, 0.0, 2023-06-28 12:27:41.151
37.0, -262.47365869022906, -337.1557209054008, -198.577467947267, -213.92788731539622, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611510146E9, 0.0, 2023-06-28 12:27:41.151
38.0, -189.4259327556938, -282.313827955164, -32.67924581281841, -73.48342427937314, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611668427E9, 0.0, 2023-06-28 12:27:41.166
38.0, -157.95467462856323, -248.68838745355606, -129.86802596133202, -142.14424756588414, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611668427E9, 0.0, 2023-06-28 12:27:41.166
39.0, -275.85128083173186, -335.54382402449846, -245.6366290897131, -248.04699461115524, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611675403E9, 0.0, 2023-06-28 12:27:41.167
39.0, -268.11342782340944, -304.891603987664, -87.23690636642277, -122.99595979275182, -0.01600000075995922, -0.03200000151991844, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611675403E9, 0.0, 2023-06-28 12:27:41.167
